 ;;LAPORAN PENJUALAN DETAIL;;;;;;PERIODE : 01/07/26 - 31/07/26;;;;
;;INSPIRASI MEDIA KREATIF;;;;;;;;;;
;;;;;;;;;;;;
;;JL. TUKAD BATANGHARI XI NO 2;;;;;;;;;;
;;0361-4783465;;;;;;;;;;
;;-;;;;;;;;;;
 ;;;;;;;;;;;;
No Transaksi;;Tanggal;;Dept.;Kode Pel.;Nama Pelanggan;;;Alamat;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
8;EXCEL CAT 20 KG TI;EXCEL CAT 20 KG TUNA IKAN;;;;;1;SAK;418.500;0;418.500;
9;CAT CHOIZE KITTEN SALMON 20KG;CAT CHOIZE KITTEN SALMON 20KG;;;;;2;SAK;469.000;0;938.000;
10;MISTER PUSS TUNA 20KG;MISTER PUSS TUNA 20KG;;;;;1;SAK;380.000;0;380.000;
;;;;;; ;;;;;;
;;;;;;;16;;;;6.841.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;6.841.000;;
 ;;;;;;;;;;;;
JL-0011416-26;;02/07/2026;;;PL1595;SUSANTO;;;JL. RAYA CILILITAN BESAR NO.100 A ( DEPAN KOMPLEK KODIM )  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;LIFE CAT 20 KG;LIFE CAT 20 KG;;;;;3;SAK;517.500;0;1.552.500;
2;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;3;SAK;419.000;0;1.257.000;
3;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;2;SAK;419.000;0;838.000;
4;PASIR BOSSCAT 5.5 L;PASIR BOSS CAT 5.5 L (ISI 5);;;;;30;PCS;26.000;0;780.000;
;;;;;; ;;;;;;
;;;;;;;38;;;;4.427.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;4.427.500;;
 ;;;;;;;;;;;;
JL-0011447-26;;03/07/2026;;;PL4677;AHMED FAOUZI;;;JL MUJAHIDIN RT.011/002 RAMBUTAN CIRACAS( SAMPING SEKOLAHAN SMK WIJAYA KUSUMA )  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;TARO CAT LITTER 5 LT;TARO CAT LITTER 5 LT (ISI 6);;;;;6;PCS;25.000;0;150.000;
2;PASIR MIGOO 10 L (ISI 3);PASIR MIGOO 10 L (ISI 3);;;;;3;PCS;41.000;0;123.000;
3;PASIR MIGOO 25 L;PASIR MIGOO 25 L;;;;;3;PCS;82.000;0;246.000;
;;;;;; ;;;;;;
;;;;;;;12;;;;519.000;
